Tissue	Cluster_ID	Annotation
iPSC	iPSC_1249	caPeak,haPeak
iPSC	iPSC_125	eGene,haPeak
iPSC	iPSC_1250	caPeak,haPeak
iPSC	iPSC_1251	caPeak
iPSC	iPSC_1252	caPeak
iPSC	iPSC_1253	caPeak,haPeak
iPSC	iPSC_1254	caPeak,haPeak
iPSC	iPSC_1255	caPeak
iPSC	iPSC_1256	caPeak,haPeak
iPSC	iPSC_1257	caPeak,haPeak
iPSC	iPSC_1258	caPeak,haPeak
iPSC	iPSC_1259	caPeak,haPeak
iPSC	iPSC_126	eGene,caPeak
iPSC	iPSC_1260	caPeak,haPeak
iPSC	iPSC_1261	caPeak
iPSC	iPSC_1262	caPeak,haPeak
iPSC	iPSC_1263	caPeak,haPeak
iPSC	iPSC_1264	caPeak
iPSC	iPSC_1265	caPeak,haPeak
iPSC	iPSC_1266	caPeak,haPeak
iPSC	iPSC_1267	caPeak,haPeak
iPSC	iPSC_1268	caPeak
iPSC	iPSC_1269	caPeak
iPSC	iPSC_127	eGene,caPeak,haPeak
iPSC	iPSC_1270	caPeak
iPSC	iPSC_1271	caPeak,haPeak
iPSC	iPSC_1272	caPeak
iPSC	iPSC_1273	caPeak,haPeak
iPSC	iPSC_1274	caPeak,haPeak
iPSC	iPSC_1275	caPeak
iPSC	iPSC_1276	caPeak
iPSC	iPSC_1277	caPeak,haPeak
iPSC	iPSC_1278	caPeak
iPSC	iPSC_1279	caPeak,haPeak
iPSC	iPSC_128	eGene,caPeak
iPSC	iPSC_1280	caPeak
iPSC	iPSC_1281	caPeak
iPSC	iPSC_1282	caPeak,haPeak
iPSC	iPSC_1283	caPeak
iPSC	iPSC_1284	caPeak,haPeak
iPSC	iPSC_1285	caPeak,haPeak
iPSC	iPSC_1286	caPeak
iPSC	iPSC_1287	caPeak
iPSC	iPSC_1288	caPeak
iPSC	iPSC_1289	caPeak,haPeak
iPSC	iPSC_129	eGene,caPeak
iPSC	iPSC_1290	caPeak
iPSC	iPSC_1291	caPeak
iPSC	iPSC_1292	caPeak,haPeak
iPSC	iPSC_1293	caPeak,haPeak
iPSC	iPSC_1294	caPeak
iPSC	iPSC_1295	caPeak
iPSC	iPSC_1296	caPeak,haPeak
iPSC	iPSC_1297	caPeak
iPSC	iPSC_1298	caPeak
iPSC	iPSC_1299	caPeak
iPSC	iPSC_13	eGene,caPeak,haPeak
iPSC	iPSC_130	eGene,caPeak
iPSC	iPSC_1300	caPeak
iPSC	iPSC_1301	caPeak
iPSC	iPSC_1302	caPeak,haPeak
iPSC	iPSC_1303	caPeak
iPSC	iPSC_1304	caPeak,haPeak
iPSC	iPSC_1305	caPeak,haPeak
iPSC	iPSC_1306	caPeak
iPSC	iPSC_1307	caPeak,haPeak
iPSC	iPSC_1308	caPeak
iPSC	iPSC_1309	caPeak,haPeak
iPSC	iPSC_131	eGene,caPeak
iPSC	iPSC_1310	caPeak
iPSC	iPSC_1311	caPeak,haPeak
iPSC	iPSC_1312	caPeak,haPeak
iPSC	iPSC_1313	caPeak
iPSC	iPSC_1314	caPeak
iPSC	iPSC_1315	caPeak
iPSC	iPSC_1316	caPeak,haPeak
iPSC	iPSC_1317	caPeak,haPeak
iPSC	iPSC_1318	caPeak
iPSC	iPSC_1319	caPeak
iPSC	iPSC_132	eGene
iPSC	iPSC_1320	caPeak,haPeak
iPSC	iPSC_1321	caPeak
iPSC	iPSC_1322	caPeak
iPSC	iPSC_1323	caPeak
iPSC	iPSC_1324	caPeak,haPeak
iPSC	iPSC_1325	caPeak
iPSC	iPSC_1326	caPeak
iPSC	iPSC_1327	caPeak
iPSC	iPSC_1328	caPeak,haPeak
iPSC	iPSC_1329	caPeak,haPeak
iPSC	iPSC_133	eGene,caPeak
iPSC	iPSC_1330	caPeak
iPSC	iPSC_1331	caPeak,haPeak
iPSC	iPSC_1332	caPeak,haPeak
iPSC	iPSC_1333	caPeak
iPSC	iPSC_1334	caPeak,haPeak
iPSC	iPSC_1335	caPeak,haPeak
iPSC	iPSC_1336	caPeak
iPSC	iPSC_1337	caPeak
iPSC	iPSC_1338	caPeak
iPSC	iPSC_1339	caPeak,haPeak
iPSC	iPSC_134	eGene,caPeak
iPSC	iPSC_1340	caPeak
iPSC	iPSC_1341	caPeak
iPSC	iPSC_1342	caPeak
iPSC	iPSC_1343	caPeak
iPSC	iPSC_1344	caPeak
iPSC	iPSC_1345	caPeak
iPSC	iPSC_1346	caPeak
iPSC	iPSC_1347	caPeak
iPSC	iPSC_1348	caPeak
iPSC	iPSC_1349	caPeak,haPeak
iPSC	iPSC_135	eGene,caPeak
iPSC	iPSC_1350	caPeak
iPSC	iPSC_1351	caPeak
iPSC	iPSC_1352	caPeak,haPeak
iPSC	iPSC_1353	caPeak,haPeak
iPSC	iPSC_1354	caPeak
iPSC	iPSC_1355	caPeak
iPSC	iPSC_1356	caPeak,haPeak
iPSC	iPSC_1357	caPeak,haPeak
iPSC	iPSC_1358	caPeak
iPSC	iPSC_1359	caPeak
iPSC	iPSC_136	eGene,caPeak
iPSC	iPSC_1360	caPeak
iPSC	iPSC_1361	caPeak
iPSC	iPSC_1362	caPeak
iPSC	iPSC_1363	caPeak
iPSC	iPSC_1364	caPeak
iPSC	iPSC_1365	caPeak
iPSC	iPSC_1366	caPeak
iPSC	iPSC_1367	caPeak
iPSC	iPSC_1368	caPeak
iPSC	iPSC_1369	caPeak,haPeak
iPSC	iPSC_137	eGene,caPeak
iPSC	iPSC_1370	caPeak,haPeak
iPSC	iPSC_1371	caPeak,haPeak
iPSC	iPSC_1372	caPeak
iPSC	iPSC_1373	caPeak,haPeak
iPSC	iPSC_1374	caPeak
iPSC	iPSC_1375	caPeak,haPeak
iPSC	iPSC_1376	caPeak
iPSC	iPSC_1377	caPeak
iPSC	iPSC_1378	caPeak
iPSC	iPSC_1379	caPeak
iPSC	iPSC_138	eGene,caPeak
iPSC	iPSC_1380	caPeak,haPeak
iPSC	iPSC_1381	caPeak,haPeak
iPSC	iPSC_1382	caPeak
iPSC	iPSC_1383	caPeak
iPSC	iPSC_1384	caPeak
iPSC	iPSC_1385	caPeak,haPeak
iPSC	iPSC_1386	caPeak
iPSC	iPSC_1387	caPeak
iPSC	iPSC_1388	caPeak,haPeak
iPSC	iPSC_1389	caPeak
iPSC	iPSC_139	eGene,caPeak
iPSC	iPSC_1390	caPeak
iPSC	iPSC_1391	caPeak
iPSC	iPSC_1392	caPeak,haPeak
iPSC	iPSC_1393	caPeak
iPSC	iPSC_1394	caPeak,haPeak
iPSC	iPSC_1395	caPeak,haPeak
iPSC	iPSC_1396	caPeak
iPSC	iPSC_1397	caPeak,haPeak
iPSC	iPSC_1398	caPeak,haPeak
iPSC	iPSC_1399	caPeak
iPSC	iPSC_14	eGene,caPeak
iPSC	iPSC_140	eGene
iPSC	iPSC_1400	caPeak,haPeak
iPSC	iPSC_1401	caPeak
iPSC	iPSC_1402	caPeak,haPeak
iPSC	iPSC_1403	caPeak
iPSC	iPSC_1404	caPeak,haPeak
iPSC	iPSC_1405	caPeak,haPeak
iPSC	iPSC_1406	caPeak,haPeak
iPSC	iPSC_1407	caPeak
iPSC	iPSC_1408	caPeak
iPSC	iPSC_1409	caPeak,haPeak
iPSC	iPSC_141	eGene
iPSC	iPSC_1410	caPeak
iPSC	iPSC_1411	caPeak
iPSC	iPSC_1412	caPeak
iPSC	iPSC_1413	caPeak
iPSC	iPSC_1414	caPeak,haPeak
iPSC	iPSC_1415	caPeak,haPeak
iPSC	iPSC_1416	caPeak
iPSC	iPSC_1417	caPeak
iPSC	iPSC_1418	caPeak
iPSC	iPSC_1419	caPeak,haPeak
iPSC	iPSC_142	eGene
iPSC	iPSC_1420	caPeak
iPSC	iPSC_1421	caPeak,haPeak
iPSC	iPSC_1422	caPeak,haPeak
iPSC	iPSC_1423	caPeak
iPSC	iPSC_1424	caPeak
iPSC	iPSC_1425	caPeak
iPSC	iPSC_1426	caPeak
iPSC	iPSC_1427	caPeak,haPeak
iPSC	iPSC_1428	caPeak
iPSC	iPSC_1429	caPeak
iPSC	iPSC_143	eGene
iPSC	iPSC_1430	caPeak
iPSC	iPSC_1431	caPeak
iPSC	iPSC_1432	caPeak
iPSC	iPSC_1433	caPeak
iPSC	iPSC_1434	caPeak,haPeak
iPSC	iPSC_1435	caPeak
iPSC	iPSC_1436	caPeak
iPSC	iPSC_1437	caPeak,haPeak
iPSC	iPSC_1438	caPeak,haPeak
iPSC	iPSC_1439	caPeak
iPSC	iPSC_144	eGene,caPeak
iPSC	iPSC_1440	caPeak
iPSC	iPSC_1441	caPeak,haPeak
iPSC	iPSC_1442	caPeak
iPSC	iPSC_1443	caPeak
iPSC	iPSC_1444	caPeak
iPSC	iPSC_1445	caPeak,haPeak
iPSC	iPSC_1446	caPeak,haPeak
iPSC	iPSC_1447	caPeak,haPeak
iPSC	iPSC_1448	caPeak,haPeak
iPSC	iPSC_1449	caPeak,haPeak
iPSC	iPSC_145	eGene
iPSC	iPSC_1450	caPeak
iPSC	iPSC_1451	caPeak,haPeak
iPSC	iPSC_1452	caPeak
iPSC	iPSC_1453	caPeak,haPeak
iPSC	iPSC_1454	caPeak,haPeak
iPSC	iPSC_1455	caPeak,haPeak
iPSC	iPSC_1456	caPeak
iPSC	iPSC_1457	caPeak,haPeak
iPSC	iPSC_1458	caPeak,haPeak
iPSC	iPSC_1459	caPeak,haPeak
iPSC	iPSC_146	eGene,caPeak
iPSC	iPSC_1460	caPeak,haPeak
iPSC	iPSC_1461	caPeak
iPSC	iPSC_1462	caPeak
iPSC	iPSC_1463	caPeak,haPeak
iPSC	iPSC_1464	caPeak,haPeak
iPSC	iPSC_1465	caPeak
iPSC	iPSC_1466	caPeak,haPeak
iPSC	iPSC_1467	caPeak,haPeak
iPSC	iPSC_1468	caPeak,haPeak
iPSC	iPSC_1469	caPeak
iPSC	iPSC_147	eGene,haPeak
iPSC	iPSC_1470	caPeak
iPSC	iPSC_1471	caPeak,haPeak
iPSC	iPSC_1472	caPeak,haPeak
iPSC	iPSC_1473	caPeak,haPeak
iPSC	iPSC_1474	caPeak
iPSC	iPSC_1475	caPeak,haPeak
iPSC	iPSC_1476	caPeak,haPeak
iPSC	iPSC_1477	caPeak,haPeak
iPSC	iPSC_1478	caPeak,haPeak
iPSC	iPSC_1479	caPeak
iPSC	iPSC_148	eGene,caPeak
iPSC	iPSC_1480	caPeak,haPeak
iPSC	iPSC_1481	caPeak
iPSC	iPSC_1482	caPeak
iPSC	iPSC_1483	caPeak,haPeak
iPSC	iPSC_1484	caPeak
iPSC	iPSC_1485	caPeak
iPSC	iPSC_1486	caPeak
iPSC	iPSC_1487	caPeak
iPSC	iPSC_1488	caPeak
iPSC	iPSC_1489	caPeak,haPeak
iPSC	iPSC_149	eGene,caPeak
iPSC	iPSC_1490	caPeak,haPeak
iPSC	iPSC_1491	caPeak
iPSC	iPSC_1492	caPeak
iPSC	iPSC_1493	caPeak
iPSC	iPSC_1494	caPeak
iPSC	iPSC_1495	caPeak,haPeak
iPSC	iPSC_1496	caPeak,haPeak
iPSC	iPSC_1497	caPeak
iPSC	iPSC_1498	caPeak,haPeak
iPSC	iPSC_1499	caPeak,haPeak
iPSC	iPSC_15	caPeak
iPSC	iPSC_150	eGene,caPeak,haPeak
iPSC	iPSC_1500	caPeak,haPeak
iPSC	iPSC_1501	caPeak
iPSC	iPSC_1502	caPeak
iPSC	iPSC_1503	caPeak
iPSC	iPSC_1504	caPeak,haPeak
iPSC	iPSC_1505	caPeak,haPeak
iPSC	iPSC_1506	caPeak
iPSC	iPSC_1507	caPeak
iPSC	iPSC_1508	caPeak,haPeak
iPSC	iPSC_1509	caPeak
iPSC	iPSC_151	eGene,caPeak,haPeak
iPSC	iPSC_1510	caPeak
iPSC	iPSC_1511	caPeak
iPSC	iPSC_1512	caPeak,haPeak
iPSC	iPSC_1513	caPeak
iPSC	iPSC_1514	caPeak,haPeak
iPSC	iPSC_1515	caPeak
iPSC	iPSC_1516	caPeak
iPSC	iPSC_1517	caPeak
iPSC	iPSC_1518	caPeak
iPSC	iPSC_1519	caPeak
iPSC	iPSC_152	eGene,caPeak,haPeak
iPSC	iPSC_1520	caPeak,haPeak
iPSC	iPSC_1521	caPeak,haPeak
iPSC	iPSC_1522	caPeak
iPSC	iPSC_1523	caPeak
iPSC	iPSC_1524	caPeak,haPeak
iPSC	iPSC_1525	caPeak
iPSC	iPSC_1526	caPeak
iPSC	iPSC_1527	caPeak
iPSC	iPSC_1528	caPeak
iPSC	iPSC_1529	caPeak,haPeak
iPSC	iPSC_153	eGene,caPeak
iPSC	iPSC_1530	caPeak
iPSC	iPSC_1531	caPeak
iPSC	iPSC_1532	caPeak,haPeak
iPSC	iPSC_1533	caPeak
iPSC	iPSC_1534	caPeak
iPSC	iPSC_1535	caPeak,haPeak
iPSC	iPSC_1536	caPeak
iPSC	iPSC_1537	caPeak
iPSC	iPSC_1538	caPeak
iPSC	iPSC_1539	caPeak
iPSC	iPSC_154	eGene,caPeak
iPSC	iPSC_1540	caPeak,haPeak
iPSC	iPSC_1541	caPeak
iPSC	iPSC_1542	caPeak
iPSC	iPSC_1543	caPeak
iPSC	iPSC_1544	caPeak
iPSC	iPSC_1545	caPeak,haPeak
iPSC	iPSC_1546	caPeak,haPeak
iPSC	iPSC_1547	caPeak
iPSC	iPSC_1548	caPeak
iPSC	iPSC_1549	caPeak,haPeak
iPSC	iPSC_155	eGene,caPeak
iPSC	iPSC_1550	caPeak,haPeak
iPSC	iPSC_1551	caPeak,haPeak
iPSC	iPSC_1552	caPeak
iPSC	iPSC_1553	caPeak,haPeak
iPSC	iPSC_1554	caPeak
iPSC	iPSC_1555	caPeak,haPeak
iPSC	iPSC_1556	caPeak,haPeak
iPSC	iPSC_1557	caPeak
iPSC	iPSC_1558	caPeak,haPeak
iPSC	iPSC_1559	haPeak
iPSC	iPSC_156	eGene
iPSC	iPSC_1560	haPeak
iPSC	iPSC_1561	haPeak
iPSC	iPSC_1562	haPeak
iPSC	iPSC_1563	haPeak
iPSC	iPSC_1564	haPeak
iPSC	iPSC_1565	haPeak
iPSC	iPSC_1566	haPeak
iPSC	iPSC_1567	haPeak
iPSC	iPSC_157	eGene,caPeak
iPSC	iPSC_158	eGene,caPeak
iPSC	iPSC_159	eGene,caPeak
iPSC	iPSC_16	caPeak,haPeak
iPSC	iPSC_160	eGene,caPeak
iPSC	iPSC_161	eGene,caPeak
iPSC	iPSC_162	eGene,caPeak
iPSC	iPSC_163	eGene,caPeak
iPSC	iPSC_164	eGene,caPeak
iPSC	iPSC_165	eGene
iPSC	iPSC_166	eGene,caPeak,haPeak
iPSC	iPSC_167	eGene,caPeak
iPSC	iPSC_168	eGene,caPeak
iPSC	iPSC_169	eGene,caPeak,haPeak
iPSC	iPSC_17	caPeak,haPeak
iPSC	iPSC_170	eGene,caPeak,haPeak
iPSC	iPSC_171	eGene,caPeak,haPeak
iPSC	iPSC_172	eGene,caPeak
iPSC	iPSC_173	eGene,caPeak
iPSC	iPSC_174	eGene,caPeak
iPSC	iPSC_175	eGene,caPeak,haPeak
iPSC	iPSC_176	eGene,caPeak
iPSC	iPSC_177	eGene,caPeak
iPSC	iPSC_178	eGene
iPSC	iPSC_179	eGene
iPSC	iPSC_18	eGene
iPSC	iPSC_180	eGene,haPeak
iPSC	iPSC_181	eGene,caPeak
iPSC	iPSC_182	eGene,caPeak,haPeak
iPSC	iPSC_183	eGene
iPSC	iPSC_184	eGene,caPeak
iPSC	iPSC_185	eGene,caPeak,haPeak
iPSC	iPSC_186	eGene,caPeak,haPeak
iPSC	iPSC_187	eGene,caPeak,haPeak
iPSC	iPSC_188	eGene,caPeak,haPeak
iPSC	iPSC_189	eGene,caPeak
iPSC	iPSC_19	eGene,caPeak
iPSC	iPSC_190	eGene,caPeak
iPSC	iPSC_191	eGene,caPeak
iPSC	iPSC_192	eGene
iPSC	iPSC_193	eGene,caPeak
iPSC	iPSC_194	eGene,caPeak,haPeak
iPSC	iPSC_195	eGene
iPSC	iPSC_196	eGene
iPSC	iPSC_197	eGene,caPeak
iPSC	iPSC_198	eGene,caPeak
iPSC	iPSC_199	eGene,caPeak
iPSC	iPSC_2	eGene,caPeak
iPSC	iPSC_20	eGene,caPeak,haPeak
iPSC	iPSC_200	eGene
iPSC	iPSC_201	eGene,caPeak,haPeak
iPSC	iPSC_202	eGene,caPeak
