qElement_Type	Complexity	V8	min_distance
caPeak	Singleton	ENSG00000226180.3	35776
caPeak	Complex	ENSG00000226180.3	55894
caPeak	Complex	ENSG00000226180.3	55974
caPeak	Singleton	ENSG00000103257.9	36975
caPeak	Singleton	ENSG00000103257.9	26938
caPeak	Singleton	ENSG00000103257.9	56347
caPeak	Singleton	ENSG00000103257.9	29941
caPeak	Singleton	ENSG00000103257.9	1804
caPeak	Singleton	ENSG00000103257.9	66450
caPeak	Singleton	ENSG00000172530.22	96947
caPeak	Singleton	ENSG00000172530.22	83253
caPeak	Singleton	ENSG00000179588.9	8948
caPeak	Singleton	ENSG00000179588.9	52368
caPeak	Singleton	ENSG00000158545.16	42962
caPeak	Singleton	ENSG00000158545.16	34542
caPeak	Singleton	ENSG00000185669.6	58061
caPeak	Singleton	ENSG00000174177.13	39086
caPeak	Singleton	ENSG00000158717.11	39158
caPeak	Singleton	ENSG00000224888.4	27552
caPeak	Singleton	ENSG00000224888.4	6394
caPeak	Complex	ENSG00000224888.4	24507
caPeak	Singleton	ENSG00000103335.22	25643
caPeak	Complex	ENSG00000103335.22	29331
caPeak	Singleton	ENSG00000103335.22	82946
caPeak	Singleton	ENSG00000198931.11	1444
caPeak	Singleton	ENSG00000176715.17	38476
caPeak	Singleton	ENSG00000129910.8	19359
caPeak	Singleton	ENSG00000129910.8	25298
caPeak	Singleton	ENSG00000259877.3	19894
caPeak	Singleton	ENSG00000167522.17	28103
caPeak	Singleton	ENSG00000167526.14	18380
caPeak	Complex	ENSG00000167526.14	13959
caPeak	Singleton	ENSG00000015413.10	6901
caPeak	Singleton	ENSG00000167523.15	17046
caPeak	Complex	ENSG00000185324.22	65785
caPeak	Singleton	ENSG00000158792.16	59846
caPeak	Singleton	ENSG00000075399.14	41311
caPeak	Complex	ENSG00000267048.1	3659
caPeak	Singleton	ENSG00000258947.8	7481
caPeak	Singleton	ENSG00000258947.8	38712
caPeak	Singleton	ENSG00000140995.17	3322
caPeak	Singleton	ENSG00000049245.13	60452
caPeak	Complex	ENSG00000141013.17	2795
caPeak	Complex	ENSG00000141013.17	12579
caPeak	Complex	ENSG00000003249.15	12315
caPeak	Complex	ENSG00000003249.15	2603
caPeak	Complex	ENSG00000290738.1	25277
caPeak	Complex	ENSG00000141252.21	58529
caPeak	Singleton	ENSG00000171861.11	29979
caPeak	Singleton	ENSG00000171861.11	95814
caPeak	Complex	ENSG00000167693.17	87378
caPeak	Singleton	ENSG00000167193.8	5516
caPeak	Singleton	ENSG00000167711.14	7409
caPeak	Singleton	ENSG00000132386.11	23033
caPeak	Complex	ENSG00000185924.7	8557
caPeak	Singleton	ENSG00000185924.7	58238
caPeak	Complex	ENSG00000177374.13	91163
caPeak	Singleton	ENSG00000167721.11	87645
caPeak	Singleton	ENSG00000141258.13	88483
caPeak	Complex	ENSG00000167723.15	27563
caPeak	Complex	ENSG00000196689.13	12195
caPeak	Singleton	ENSG00000262903.1	31150
caPeak	Complex	ENSG00000262903.1	3298
caPeak	Singleton	ENSG00000074356.17	19136
caPeak	Complex	ENSG00000004660.15	23717
caPeak	Singleton	ENSG00000074370.18	21083
caPeak	Singleton	ENSG00000074370.18	1449
caPeak	Singleton	ENSG00000074370.18	8387
caPeak	Singleton	ENSG00000167740.10	80179
caPeak	Complex	ENSG00000185722.18	62851
caPeak	Singleton	ENSG00000183018.9	29288
caPeak	Singleton	ENSG00000132382.15	14046
caPeak	Singleton	ENSG00000132382.15	11458
caPeak	Complex	ENSG00000188176.12	7043
caPeak	Singleton	ENSG00000141456.16	31012
caPeak	Singleton	ENSG00000141503.17	2526
caPeak	Singleton	ENSG00000108515.18	51094
caPeak	Complex	ENSG00000091640.8	5184
caPeak	Complex	ENSG00000108509.21	33124
caPeak	Singleton	ENSG00000167840.14	10485
caPeak	Singleton	ENSG00000167840.14	5844
caPeak	Singleton	ENSG00000029725.17	24592
caPeak	Complex	ENSG00000129197.15	19521
caPeak	Singleton	ENSG00000286190.2	13120
caPeak	Singleton	ENSG00000091592.17	98753
caPeak	Singleton	ENSG00000091592.17	50473
caPeak	Complex	ENSG00000256806.6	2414
caPeak	Singleton	ENSG00000256806.6	21777
caPeak	Singleton	ENSG00000219200.12	16615
caPeak	Singleton	ENSG00000161944.17	30670
caPeak	Singleton	ENSG00000141504.12	1818
caPeak	Complex	ENSG00000183914.15	9303
caPeak	Complex	ENSG00000182224.12	22061
caPeak	Singleton	ENSG00000214999.3	62581
caPeak	Singleton	ENSG00000214999.3	15304
caPeak	Singleton	ENSG00000288993.1	92424
caPeak	Singleton	ENSG00000166579.16	2804
caPeak	Complex	ENSG00000133026.14	73750
caPeak	Singleton	ENSG00000133026.14	75894
caPeak	Singleton	ENSG00000065320.9	28956
caPeak	Singleton	ENSG00000065320.9	5398
caPeak	Singleton	ENSG00000271851.1	11329
caPeak	Singleton	ENSG00000065325.13	22156
caPeak	Complex	ENSG00000007237.19	15285
caPeak	Singleton	ENSG00000007237.19	68910
caPeak	Singleton	ENSG00000109063.15	12522
caPeak	Singleton	ENSG00000170222.12	92433
caPeak	Complex	ENSG00000187824.9	3787
caPeak	Complex	ENSG00000263400.8	4036
caPeak	Singleton	ENSG00000187824.9	92013
caPeak	Singleton	ENSG00000141052.18	82690
caPeak	Singleton	ENSG00000230897.1	54851
caPeak	Singleton	ENSG00000279660.1	6907
caPeak	Singleton	ENSG00000239704.12	25276
caPeak	Complex	ENSG00000239704.12	66894
caPeak	Complex	ENSG00000276855.1	17214
caPeak	Singleton	ENSG00000133030.22	44567
caPeak	Singleton	ENSG00000278864.1	61974
caPeak	Singleton	ENSG00000278864.1	71098
caPeak	Singleton	ENSG00000278864.1	17083
caPeak	Singleton	ENSG00000205309.14	26029
caPeak	Singleton	ENSG00000205309.14	127
caPeak	Singleton	ENSG00000205309.14	99387
caPeak	Singleton	ENSG00000215030.5	38534
caPeak	Singleton	ENSG00000215030.5	34038
caPeak	Singleton	ENSG00000264666.3	8220
caPeak	Singleton	ENSG00000264666.3	50512
caPeak	Complex	ENSG00000108557.20	11782
caPeak	Complex	ENSG00000072310.18	18859
caPeak	Singleton	ENSG00000175662.18	14376
caPeak	Complex	ENSG00000175662.18	37318
caPeak	Complex	ENSG00000171953.16	50742
caPeak	Singleton	ENSG00000171953.16	12009
caPeak	Singleton	ENSG00000091536.20	22949
caPeak	Singleton	ENSG00000091542.9	4627
caPeak	Complex	ENSG00000091542.9	7485
caPeak	Complex	ENSG00000131899.12	124
caPeak	Singleton	ENSG00000220161.4	26631
caPeak	Complex	ENSG00000220161.4	10578
caPeak	Complex	ENSG00000174977.8	76097
caPeak	Complex	ENSG00000290687.1	1872
caPeak	Complex	ENSG00000240445.6	1958
caPeak	Singleton	ENSG00000291110.1	70422
caPeak	Singleton	ENSG00000141127.15	53499
caPeak	Complex	ENSG00000281856.1	68486
caPeak	Singleton	ENSG00000166484.20	27739
caPeak	Singleton	ENSG00000142494.13	1223
caPeak	Complex	ENSG00000142494.13	23822
caPeak	Complex	ENSG00000142494.13	40368
caPeak	Singleton	ENSG00000108599.15	24844
caPeak	Singleton	ENSG00000128487.19	73249
caPeak	Singleton	ENSG00000154898.16	83919
caPeak	Singleton	ENSG00000188013.6	35731
caPeak	Singleton	ENSG00000124422.12	80208
caPeak	Singleton	ENSG00000274180.1	66186
caPeak	Singleton	ENSG00000184185.10	3552
caPeak	Singleton	ENSG00000184185.10	9556
caPeak	Complex	ENSG00000184185.10	21556
caPeak	Singleton	ENSG00000265683.1	64063
caPeak	Singleton	ENSG00000141068.16	49967
caPeak	Complex	ENSG00000141068.16	81040
caPeak	Singleton	ENSG00000168961.17	1101
caPeak	Singleton	ENSG00000168961.17	21030
caPeak	Singleton	ENSG00000007171.19	40239
caPeak	Singleton	ENSG00000007171.19	16359
caPeak	Singleton	ENSG00000007171.19	46041
caPeak	Singleton	ENSG00000232859.10	17458
caPeak	Singleton	ENSG00000109084.14	45579
caPeak	Singleton	ENSG00000109084.14	28569
caPeak	Complex	ENSG00000109072.14	2591
caPeak	Complex	ENSG00000167549.19	51549
caPeak	Singleton	ENSG00000126653.18	29849
caPeak	Complex	ENSG00000290450.1	51861
caPeak	Singleton	ENSG00000290928.1	8708
caPeak	Complex	ENSG00000264538.8	98308
caPeak	Singleton	ENSG00000131242.18	92710
caPeak	Singleton	ENSG00000108651.10	33278
caPeak	Singleton	ENSG00000108666.11	7813
caPeak	Complex	ENSG00000176749.9	32613
caPeak	Complex	ENSG00000226049.3	67196
caPeak	Complex	ENSG00000108684.15	41113
caPeak	Singleton	ENSG00000181291.8	50170
caPeak	Singleton	ENSG00000181291.8	20234
caPeak	Singleton	ENSG00000181291.8	5954
caPeak	Singleton	ENSG00000092871.17	4788
caPeak	Singleton	ENSG00000267744.1	50243
caPeak	Singleton	ENSG00000172123.13	50578
caPeak	Complex	ENSG00000154760.14	26917
caPeak	Singleton	ENSG00000154760.14	88971
caPeak	Singleton	ENSG00000270885.2	68960
caPeak	Singleton	ENSG00000276234.5	68089
caPeak	Complex	ENSG00000278053.5	2986
caPeak	Singleton	ENSG00000275410.6	24889
caPeak	Complex	ENSG00000275410.6	57359
caPeak	Singleton	ENSG00000277363.5	29425
caPeak	Singleton	ENSG00000286443.1	30664
caPeak	Complex	ENSG00000266469.2	79995
caPeak	Complex	ENSG00000141744.4	79496
caPeak	Complex	ENSG00000172057.10	26665
caPeak	Singleton	ENSG00000172057.10	38829
caPeak	Singleton	ENSG00000172057.10	9228
caPeak	Singleton	ENSG00000126368.6	33439
caPeak	Singleton	ENSG00000188895.12	17562
caPeak	Singleton	ENSG00000167920.12	98103
caPeak	Singleton	ENSG00000167920.12	26912
caPeak	Singleton	ENSG00000171345.13	60135
caPeak	Singleton	ENSG00000171345.13	62992
caPeak	Complex	ENSG00000168610.16	3687
caPeak	Complex	ENSG00000037042.9	57115
caPeak	Singleton	ENSG00000108828.16	4578
caPeak	Singleton	ENSG00000108830.11	4473
caPeak	Singleton	ENSG00000188825.16	7814
caPeak	Singleton	ENSG00000188825.16	23468
caPeak	Singleton	ENSG00000188825.16	62173
caPeak	Singleton	ENSG00000175832.13	38422
caPeak	Singleton	ENSG00000175832.13	7536
caPeak	Singleton	ENSG00000108861.9	5656
caPeak	Singleton	ENSG00000108852.16	34625
caPeak	Singleton	ENSG00000161653.11	2107
caPeak	Singleton	ENSG00000108840.16	29304
caPeak	Complex	ENSG00000180336.18	14541
caPeak	Complex	ENSG00000180336.18	22640
caPeak	Singleton	ENSG00000167131.17	46514
caPeak	Singleton	ENSG00000131094.4	20727
caPeak	Complex	ENSG00000172992.13	44526
caPeak	Singleton	ENSG00000172992.13	10791
caPeak	Complex	ENSG00000172992.13	4872
caPeak	Singleton	ENSG00000172992.13	42925
caPeak	Singleton	ENSG00000181513.15	57290
caPeak	Complex	ENSG00000181513.15	76338
caPeak	Singleton	ENSG00000228696.11	98964
caPeak	Singleton	ENSG00000289881.1	310
caPeak	Singleton	ENSG00000262879.7	10977
caPeak	Complex	ENSG00000004897.12	14533
caPeak	Complex	ENSG00000004897.12	55517
caPeak	Singleton	ENSG00000198336.9	48722
caPeak	Singleton	ENSG00000178852.16	25659
caPeak	Complex	ENSG00000291120.1	89942
caPeak	Singleton	ENSG00000117155.17	64088
caPeak	Singleton	ENSG00000117155.17	65794
caPeak	Singleton	ENSG00000002919.15	20905
caPeak	Singleton	ENSG00000120094.9	556
caPeak	Singleton	ENSG00000230148.8	54204
caPeak	Singleton	ENSG00000289021.1	16182
caPeak	Complex	ENSG00000250838.1	22532
caPeak	Complex	ENSG00000250838.1	18905
caPeak	Complex	ENSG00000171517.6	8058
caPeak	Singleton	ENSG00000064300.9	23731
caPeak	Singleton	ENSG00000171517.6	49724
caPeak	Singleton	ENSG00000108813.12	64624
caPeak	Singleton	ENSG00000108813.12	19422
caPeak	Singleton	ENSG00000005882.12	53584
caPeak	Complex	ENSG00000261959.1	4147
caPeak	Singleton	ENSG00000167105.8	61353
caPeak	Complex	ENSG00000055732.13	45864
caPeak	Singleton	ENSG00000015532.10	22212
caPeak	Singleton	ENSG00000015532.10	51833
caPeak	Complex	ENSG00000167107.13	66236
caPeak	Complex	ENSG00000136444.10	42304
caPeak	Singleton	ENSG00000136444.10	6951
caPeak	Singleton	ENSG00000136449.16	7057
caPeak	Singleton	ENSG00000049283.19	49971
caPeak	Complex	ENSG00000243678.12	11428
caPeak	Complex	ENSG00000162642.14	3306
caPeak	Singleton	ENSG00000141198.16	33347
caPeak	Complex	ENSG00000142867.14	39402
caPeak	Singleton	ENSG00000121064.13	24344
caPeak	Singleton	ENSG00000121057.13	2400
caPeak	Singleton	ENSG00000121057.13	30462
caPeak	Singleton	ENSG00000121057.13	75084
caPeak	Singleton	ENSG00000153944.12	46164
caPeak	Singleton	ENSG00000153944.12	86151
caPeak	Complex	ENSG00000181610.13	23588
caPeak	Singleton	ENSG00000011143.19	70121
caPeak	Singleton	ENSG00000213246.7	8670
caPeak	Singleton	ENSG00000068489.13	36791
caPeak	Singleton	ENSG00000153982.11	83259
caPeak	Singleton	ENSG00000175155.11	12126
caPeak	Singleton	ENSG00000108443.14	35409
caPeak	Singleton	ENSG00000267248.5	11461
caPeak	Singleton	ENSG00000170832.13	46872
caPeak	Singleton	ENSG00000146872.19	53423
caPeak	Singleton	ENSG00000274565.1	67693
caPeak	Singleton	ENSG00000011028.14	67770
caPeak	Complex	ENSG00000011028.14	82591
caPeak	Singleton	ENSG00000011028.14	8344
caPeak	Singleton	ENSG00000011028.14	40209
caPeak	Singleton	ENSG00000266173.7	98733
caPeak	Complex	ENSG00000087191.14	69972
caPeak	Singleton	ENSG00000108592.17	72059
caPeak	Complex	ENSG00000108604.18	55665
caPeak	Complex	ENSG00000108604.18	22290
caPeak	Complex	ENSG00000122417.16	40779
caPeak	Singleton	ENSG00000122417.16	69501
caPeak	Singleton	ENSG00000154240.18	18442
caPeak	Singleton	ENSG00000154229.12	44564
caPeak	Singleton	ENSG00000097033.15	30972
caPeak	Singleton	ENSG00000075461.6	64142
caPeak	Singleton	ENSG00000075461.6	78129
caPeak	Singleton	ENSG00000075461.6	12535
caPeak	Singleton	ENSG00000285877.1	89844
caPeak	Complex	ENSG00000285877.1	16227
caPeak	Complex	ENSG00000198265.12	28263
caPeak	Complex	ENSG00000197170.10	95821
caPeak	Singleton	ENSG00000171634.19	31288
caPeak	Singleton	ENSG00000186665.10	31731
caPeak	Singleton	ENSG00000291214.1	85828
caPeak	Singleton	ENSG00000196704.14	64192
caPeak	Singleton	ENSG00000196704.14	5678
caPeak	Singleton	ENSG00000290793.1	5670
caPeak	Complex	ENSG00000290793.1	5605
caPeak	Complex	ENSG00000141337.13	3631
caPeak	Complex	ENSG00000070540.13	61502
caPeak	Singleton	ENSG00000070540.13	42745
caPeak	Singleton	ENSG00000153822.15	96060
caPeak	Singleton	ENSG00000153822.15	11049
caPeak	Singleton	ENSG00000256124.6	97410
caPeak	Singleton	ENSG00000227036.10	18467
caPeak	Singleton	ENSG00000227036.10	47757
caPeak	Complex	ENSG00000267272.5	96961
caPeak	Complex	ENSG00000180616.9	6213
caPeak	Singleton	ENSG00000166685.13	14727
caPeak	Singleton	ENSG00000166685.13	66824
caPeak	Singleton	ENSG00000143013.13	81922
caPeak	Singleton	ENSG00000141219.16	33450
caPeak	Singleton	ENSG00000179604.10	39702
caPeak	Complex	ENSG00000179604.10	57167
caPeak	Complex	ENSG00000069188.17	48714
caPeak	Singleton	ENSG00000069188.17	92734
caPeak	Singleton	ENSG00000143013.13	95259
caPeak	Singleton	ENSG00000141540.11	74407
caPeak	Singleton	ENSG00000141540.11	77001
caPeak	Singleton	ENSG00000170412.18	70625
caPeak	Singleton	ENSG00000266714.11	1688
caPeak	Complex	ENSG00000161526.15	26587
caPeak	Singleton	ENSG00000132475.10	97878
caPeak	Complex	ENSG00000092929.13	6176
caPeak	Singleton	ENSG00000092929.13	41347
caPeak	Singleton	ENSG00000167881.15	14177
caPeak	Complex	ENSG00000167881.15	26063
caPeak	Singleton	ENSG00000185262.9	92595
caPeak	Singleton	ENSG00000129646.16	13643
caPeak	Singleton	ENSG00000161542.17	76152
caPeak	Complex	ENSG00000161542.17	33279
caPeak	Singleton	ENSG00000070731.11	2021
caPeak	Singleton	ENSG00000070731.11	12019
caPeak	Complex	ENSG00000261335.1	14578
caPeak	Singleton	ENSG00000182534.14	60617
caPeak	Singleton	ENSG00000161547.17	23726
caPeak	Singleton	ENSG00000167889.13	1366
caPeak	Singleton	ENSG00000167889.13	58568
caPeak	Singleton	ENSG00000234912.12	97323
caPeak	Singleton	ENSG00000184640.20	90295
caPeak	Singleton	ENSG00000184640.20	40229
caPeak	Complex	ENSG00000267016.1	87749
caPeak	Complex	ENSG00000267016.1	80748
caPeak	Singleton	ENSG00000267016.1	52097
caPeak	Singleton	ENSG00000267016.1	54663
caPeak	Singleton	ENSG00000167895.16	42920
caPeak	Complex	ENSG00000167895.16	39888
caPeak	Singleton	ENSG00000089685.15	27696
caPeak	Complex	ENSG00000089685.15	43729
caPeak	Complex	ENSG00000087157.19	28860
caPeak	Singleton	ENSG00000087157.19	12544
caPeak	Singleton	ENSG00000087157.19	56638
caPeak	Singleton	ENSG00000087157.19	98124
caPeak	Singleton	ENSG00000087157.19	69791
caPeak	Singleton	ENSG00000087157.19	95650
caPeak	Singleton	ENSG00000108669.18	685
caPeak	Singleton	ENSG00000171302.17	12403
caPeak	Singleton	ENSG00000265096.3	2447
caPeak	Singleton	ENSG00000167280.17	65691
caPeak	Singleton	ENSG00000141570.11	27482
caPeak	Singleton	ENSG00000167291.16	78150
caPeak	Singleton	ENSG00000279259.1	4112
caPeak	Singleton	ENSG00000173818.17	66061
caPeak	Singleton	ENSG00000263069.6	66067
caPeak	Singleton	ENSG00000171246.7	5062
caPeak	Singleton	ENSG00000141564.16	34505
caPeak	Singleton	ENSG00000141564.16	69323
caPeak	Singleton	ENSG00000162426.16	425
caPeak	Singleton	ENSG00000176108.9	46264
caPeak	Singleton	ENSG00000176108.9	99396
caPeak	Singleton	ENSG00000176108.9	23851
caPeak	Singleton	ENSG00000175866.16	3425
caPeak	Singleton	ENSG00000175866.16	15241
caPeak	Singleton	ENSG00000181409.14	55654
caPeak	Singleton	ENSG00000276101.1	1433
caPeak	Singleton	ENSG00000157637.13	14157
caPeak	Singleton	ENSG00000229848.1	26102
caPeak	Singleton	ENSG00000185504.17	5412
caPeak	Singleton	ENSG00000185504.17	51698
caPeak	Complex	ENSG00000182612.11	51645
caPeak	Complex	ENSG00000182446.15	17705
caPeak	Singleton	ENSG00000204237.5	54225
caPeak	Singleton	ENSG00000185298.13	54126
caPeak	Singleton	ENSG00000237505.8	47471
caPeak	Singleton	ENSG00000187531.14	65425
caPeak	Complex	ENSG00000169710.9	44022
caPeak	Singleton	ENSG00000169710.9	6178
caPeak	Singleton	ENSG00000141551.15	47288
caPeak	Complex	ENSG00000181408.5	29873
caPeak	Singleton	ENSG00000141580.16	54842
caPeak	Complex	ENSG00000141580.16	11055
caPeak	Singleton	ENSG00000141580.16	20301
caPeak	Complex	ENSG00000141560.15	3438
caPeak	Complex	ENSG00000141556.22	11373
caPeak	Complex	ENSG00000141556.22	179
caPeak	Singleton	ENSG00000137944.18	45283
caPeak	Singleton	ENSG00000141556.22	21668
caPeak	Singleton	ENSG00000162426.16	5813
caPeak	Singleton	ENSG00000175711.9	27075
caPeak	Singleton	ENSG00000176845.13	2708
caPeak	Singleton	ENSG00000261888.1	761
caPeak	Complex	ENSG00000079134.13	94146
caPeak	Singleton	ENSG00000158270.12	51053
caPeak	Singleton	ENSG00000079101.18	30743
caPeak	Singleton	ENSG00000176912.7	3091
caPeak	Singleton	ENSG00000176890.16	2391
caPeak	Complex	ENSG00000132199.20	8255
caPeak	Singleton	ENSG00000132199.20	4493
caPeak	Singleton	ENSG00000234518.2	18781
caPeak	Singleton	ENSG00000101596.17	30684
caPeak	Singleton	ENSG00000101605.14	82462
caPeak	Singleton	ENSG00000101605.14	79046
caPeak	Complex	ENSG00000183347.15	13456
caPeak	Singleton	ENSG00000170579.19	66606
caPeak	Singleton	ENSG00000082397.18	63232
caPeak	Singleton	ENSG00000206432.4	66031
caPeak	Singleton	ENSG00000235552.6	15189
caPeak	Singleton	ENSG00000265174.3	18078
caPeak	Singleton	ENSG00000231999.8	28922
caPeak	Complex	ENSG00000088756.13	13614
caPeak	Singleton	ENSG00000101680.16	98668
caPeak	Singleton	ENSG00000101680.16	29006
caPeak	Complex	ENSG00000171488.15	35387
caPeak	Singleton	ENSG00000101680.16	74218
caPeak	Singleton	ENSG00000173482.17	44204
caPeak	Singleton	ENSG00000272931.1	26294
caPeak	Singleton	ENSG00000272931.1	27717
caPeak	Singleton	ENSG00000265413.1	66768
caPeak	Singleton	ENSG00000265413.1	58322
caPeak	Singleton	ENSG00000206418.5	19754
caPeak	Singleton	ENSG00000168502.18	99564
caPeak	Complex	ENSG00000017797.13	23017
caPeak	Singleton	ENSG00000168461.13	169
caPeak	Singleton	ENSG00000101558.14	9424
caPeak	Singleton	ENSG00000154856.13	75593
caPeak	Complex	ENSG00000154856.13	11687
caPeak	Singleton	ENSG00000134265.13	63974
caPeak	Singleton	ENSG00000141404.17	31425
caPeak	Complex	ENSG00000141401.12	37902
caPeak	Singleton	ENSG00000141401.12	50076
caPeak	Complex	ENSG00000280302.1	7595
caPeak	Singleton	ENSG00000101624.11	54692
caPeak	Singleton	ENSG00000085415.16	59354
caPeak	Singleton	ENSG00000168675.19	31570
caPeak	Singleton	ENSG00000168675.19	11683
caPeak	Singleton	ENSG00000168675.19	35151
caPeak	Singleton	ENSG00000168675.19	50492
caPeak	Singleton	ENSG00000101654.18	35313
caPeak	Singleton	ENSG00000286593.1	27799
caPeak	Singleton	ENSG00000141446.11	67270
caPeak	Singleton	ENSG00000141448.11	61723
caPeak	Singleton	ENSG00000154065.17	64296
caPeak	Singleton	ENSG00000122482.22	59844
caPeak	Singleton	ENSG00000168234.13	29845
caPeak	Singleton	ENSG00000168234.13	40648
caPeak	Singleton	ENSG00000154040.21	65784
caPeak	Singleton	ENSG00000198795.11	43637
caPeak	Singleton	ENSG00000198795.11	28327
caPeak	Singleton	ENSG00000097046.13	54427
caPeak	Singleton	ENSG00000097046.13	49783
caPeak	Singleton	ENSG00000134504.14	45338
caPeak	Singleton	ENSG00000134504.14	25630
caPeak	Singleton	ENSG00000171885.18	52522
caPeak	Singleton	ENSG00000171885.18	32397
caPeak	Complex	ENSG00000171885.18	59865
caPeak	Complex	ENSG00000171885.18	59196
caPeak	Complex	ENSG00000134762.17	72822
caPeak	Singleton	ENSG00000134765.10	48167
caPeak	Singleton	ENSG00000134765.10	51575
caPeak	Singleton	ENSG00000046604.14	54413
caPeak	Complex	ENSG00000141431.14	3954
caPeak	Complex	ENSG00000172031.7	6477
caPeak	Singleton	ENSG00000153391.16	51256
caPeak	Singleton	ENSG00000260552.3	57774
caPeak	Complex	ENSG00000134775.16	59290
caPeak	Complex	ENSG00000134775.16	95460
caPeak	Singleton	ENSG00000134775.16	80296
caPeak	Singleton	ENSG00000134779.15	96409
caPeak	Singleton	ENSG00000150477.15	96522
caPeak	Singleton	ENSG00000101489.20	99610
caPeak	Singleton	ENSG00000175886.10	26526
caPeak	Singleton	ENSG00000267374.3	41447
caPeak	Singleton	ENSG00000267374.3	45610
caPeak	Singleton	ENSG00000078142.14	84534
caPeak	Complex	ENSG00000078142.14	25122
caPeak	Singleton	ENSG00000143033.18	75083
caPeak	Singleton	ENSG00000117505.13	47362
caPeak	Complex	ENSG00000152223.16	39816
caPeak	Singleton	ENSG00000152223.16	54465
caPeak	Singleton	ENSG00000152223.16	11290
caPeak	Singleton	ENSG00000152240.13	67923
caPeak	Singleton	ENSG00000152242.11	46745
caPeak	Singleton	ENSG00000141622.14	46379
caPeak	Singleton	ENSG00000175387.16	10286
caPeak	Singleton	ENSG00000184828.10	91960
caPeak	Singleton	ENSG00000134030.14	63507
caPeak	Singleton	ENSG00000134030.14	71682
caPeak	Singleton	ENSG00000101665.10	35365
caPeak	Singleton	ENSG00000101665.10	28023
caPeak	Singleton	ENSG00000101665.10	94798
caPeak	Singleton	ENSG00000101670.12	90448
caPeak	Singleton	ENSG00000167315.18	63175
caPeak	Singleton	ENSG00000167306.21	88868
caPeak	Singleton	ENSG00000141639.12	942
caPeak	Singleton	ENSG00000141639.12	72432
caPeak	Singleton	ENSG00000082212.13	1381
caPeak	Complex	ENSG00000176624.12	6405
caPeak	Singleton	ENSG00000176624.12	47385
caPeak	Singleton	ENSG00000176624.12	46136
caPeak	Complex	ENSG00000023909.10	37455
caPeak	Singleton	ENSG00000023909.10	86739
caPeak	Complex	ENSG00000166845.15	68990
caPeak	Singleton	ENSG00000267257.1	70775
caPeak	Singleton	ENSG00000198796.7	36822
caPeak	Singleton	ENSG00000198796.7	73240
caPeak	Singleton	ENSG00000267226.2	61040
caPeak	Singleton	ENSG00000166562.9	83648
caPeak	Singleton	ENSG00000166562.9	86908
caPeak	Singleton	ENSG00000267279.3	56735
caPeak	Complex	ENSG00000176641.11	86672
